# number of turbine/pump units
param bar_n := 100;

# number of time periods
param bar_t := 48;

# parameters
param : 	p_min_bound	p_max_bound	U_t	D_t	T_U	T_D	c	c_u	p0	v0	R_U	R_D	S_U	S_D :=
1	30.1132	108.028	3	0	2	2	25267.2	25487.4558120272	43.7507	1	23.8195	34.6852	30.1132	40.050556
2	72.0087	237.506	0	1	9	9	73628.6	74607.2664575304	0	0	55.9737	65.0731	72.0087	95.771571
3	42.4445	107.208	0	2	2	2	24100.5	24317.9736007483	0	0	21.7115	23.0195	42.4445	56.451185
4	92.7272	282.298	0	3	9	9	65946.2	66844.4613445013	0	0	79.5888	66.4565	92.7272	123.327176
5	44.8256	127.604	0	3	2	2	33355.2	33616.9022954051	0	0	36.0644	27.1527	44.8256	59.618048
6	53.7049	197.765	1	0	3	3	51482.6	51839.9327125991	104.545	1	62.1428	44.0176	53.7049	71.427517
7	51.4169	152.559	0	2	3	3	37301.3	37661.5717646918	0	0	32.1352	32.1705	51.4169	68.384477
8	69.0868	162.735	0	1	3	3	41340.9	41728.9636447536	0	0	36.6035	32.4953	69.0868	91.885444
9	53.607	168.377	4	0	3	3	40562.7	40934.0096898381	91.2049	1	45.1658	48.036	53.607	71.29731
10	39.5425	108.444	0	2	2	2	25983.6	26234.3938722839	0	0	24.4143	23.1623	39.5425	52.591525
11	55.5195	170.404	0	1	3	3	51508.2	51888.5365888477	0	0	47.9784	43.8742	55.5195	73.840935
12	53.9357	186.57	1	0	3	3	47910.1	48291.3274347193	117.137	1	54.3466	46.9863	53.9357	71.734481
13	85.7587	316.27	0	3	9	9	85663	86545.6431337769	0	0	90.2627	98.7254	85.7587	114.059071
14	57.1083	175.662	2	0	3	3	40551.3	40889.8717640532	145.128	1	45.3893	39.9256	57.1083	75.954039
15	98.7131	315.869	9	0	9	9	86378.8	87277.0811307308	162.649	1	68.4971	75.6438	98.7131	131.288423
16	75.2816	209.028	0	4	9	9	58226.5	59220.2538599768	0	0	51.1317	42.9513	75.2816	100.124528
17	43.819	126.93	3	0	2	2	27698.8	27939.0589269886	97.3388	1	28.5492	34.9498	43.819	58.27927
18	65.7033	152.408	2	0	3	3	39297.2	39643.104454418	137.052	1	35.9251	32.8394	65.7033	87.385389
19	36.328	101.577	0	4	2	2	26880	27143.124668167	0	0	21.2685	25.067	36.328	48.31624
20	57.3895	156.782	4	0	3	3	45841.6	46218.3418506286	128.486	1	42.6702	30.9734	57.3895	76.328035
21	41.3423	100.915	0	3	2	2	25726.6	25985.2320484471	0	0	24.5552	24.4652	41.3423	54.985259
22	67.4999	198.356	0	3	3	3	49809.3	50191.9890007029	0	0	41.5046	56.2566	67.4999	89.774867
23	53.2829	160.588	4	0	3	3	36700	37032.4377107878	87.6574	1	46.0072	43.7846	53.2829	70.866257
24	44.5875	127.378	0	3	2	2	34017.8	34297.499563754	0	0	27.0647	30.8217	44.5875	59.301375
25	99.4942	239.352	9	0	9	9	59070.1	59945.1216603971	120.347	1	52.6678	53.3195	99.4942	132.327286
26	67.8701	175.563	0	2	3	3	40041.4	40378.6253909125	0	0	43.9871	37.068	67.8701	90.267233
27	97.1575	262.863	9	0	9	9	58370.6	59255.0225805021	176.732	1	51.8886	61.0122	97.1575	129.219475
