# number of turbine/pump units
param bar_n := 50;

# number of time periods
param bar_t := 24;

# parameters
param : 	p_min_bound	p_max_bound	U_t	D_t	T_U	T_D	c	c_u	p0	v0	R_U	R_D	S_U	S_D :=
1	98.7159	279.333	2	0	9	9	55555.8	56339.9885471698	173.762	1	70.4013	71.1711	98.7159	131.292147
2	67.8873	152.17	0	3	3	3	43737.2	44138.1747031402	0	0	29.0334	27.102	67.8873	90.290109
3	92.2599	310.01	3	0	9	9	86782.2	87765.7077006726	133.09	1	68.3039	72.1179	92.2599	122.705667
4	67.1312	176.823	0	3	3	3	51333.9	51712.5713817634	0	0	48.9249	45.8292	67.1312	89.284496
5	60.3379	150.188	1	0	3	3	38865.8	39219.8565710417	88.8076	1	29.5997	37.9339	60.3379	80.249407
6	65.3662	185.038	0	3	3	3	37861.7	38180.4721609192	0	0	46.1468	49.8143	65.3662	86.937046
7	91.8154	244.928	3	0	9	9	66496.9	67437.0637916413	115.749	1	49.5012	48.1823	91.8154	122.114482
8	93.1933	283.495	4	0	9	9	58771.6	59572.2344596805	136.287	1	77.1824	72.2188	93.1933	123.947089
9	48.1846	122.457	0	4	2	2	34492.5	34733.4317269646	0	0	27.9203	23.1582	48.1846	64.085518
10	97.183	216.002	3	0	9	9	58426.6	59410.8442977995	147.026	1	48.7918	36.9591	97.183	129.25339
11	61.895	194.251	2	0	3	3	46240	46585.235347871	107.738	1	42.6826	52.5422	61.895	82.32035
12	33.1434	106.271	0	4	2	2	25778.7	26047.6161207621	0	0	26.5828	28.6505	33.1434	44.080722
13	65.4769	152.368	0	3	3	3	46153	46539.0752910308	0	0	27.4302	38.707	65.4769	87.084277
14	88.191	300.031	0	4	9	9	67865	68740.6810332272	0	0	86.7694	85.6198	88.191	117.29403
15	64.0782	168.939	1	0	3	3	45316.7	45704.8079953647	79.7545	1	41.8713	32.6366	64.0782	85.224006
16	35.2829	115.58	4	0	2	2	33661.3	33934.2276689746	44.8011	1	29.5956	27.2277	35.2829	46.926257
17	48.0842	109.543	2	0	2	2	24451.5	24700.4227041262	93.4567	1	24.908	25.3855	48.0842	63.951986
18	55.1423	171.816	0	3	3	3	37928.8	38260.1351740589	0	0	42.0778	48.8819	55.1423	73.339259
19	79.1254	289.477	9	0	9	9	76031	76957.9659763472	130.385	1	93.4481	75.0251	79.1254	105.236782
20	42.6943	125.423	0	3	2	2	35122.4	35376.8738666561	0	0	31.9962	26.7779	42.6943	56.783419
21	35.5013	103.358	4	0	2	2	29825.5	30100.322112115	72.7789	1	22.3151	21.8749	35.5013	47.216729
22	83.3519	266.508	0	3	9	9	66641.2	67479.074406019	0	0	80.5777	64.4998	83.3519	110.858027
23	43.971	111.197	1	0	2	2	26606.6	26864.9098749011	82.8082	1	22.6588	26.589	43.971	58.48143
